한글,영어,일어
에이 전지,A battery,
"후시(적) 분포, 사후분포",a posteriori distribution,
"후시(적) 확률, 사후확률",a posteriori probability,
선험(적),a priori,
선험분포,a priori distribution,
선험확률,a priori probability,
아베 수,Abbe number, アッベ數
"아뻬의 굴절계, 아뻬의 꺾임재개",Abbe's refractometer,アッペの屈折計
아벨 전환,Abel conversion, ア?ベル變換
"아벨군, 아벨무리",Abelian group, ア?ベル群 / 可換群
아벨의 방법,Abel's method,
"광행차, 빛의 벗어남<<렌즈의>>",aberration, 收 差
"빛의 벗어남, 광행차",aberration of light,
"비정상겹꺾임, 비정상복굴절",abnormal birefringence,
비정상 글로방전,abnormal glow discharge, 異常グロ?放電
비정상낟알성장,abnormal grain growth, 異常結晶粒成長
비정상액체,abnormal liquid, 異常液體
"비정상산란, 비정상흩뜨림",abnormal scattering,
비정상 계열,abnormal series, 巽常系列
"마멸, 벗겨짐",abrasion,
다발선의 아브리코소프구조,Abrikosov's structure of flux lines, アブリコソフの磁束 線橫造
"가로축, 가로좌표",abscissa,
절대(의),absolute,絶?
절대 암페어<<단위>>,absolute ampere,
절대배위,absolute configuration, 絶對配位
절대수렴,absolute convergence,
절대수셈,absolute counting, 絶對計數
절대수셈법,absolute counting method,
절대 퍼텐셜,absolute differential, 絶對微分
절대미분학,absolute differential calculus,
절대전자기단위,absolute electromagnetic unit,
절대전위계,absolute electrometer,絶??位計
절대오차,absolute error, 絶對誤差
절대검류계,absolute galvanometer,
"절대누기, 절대습도",absolute humidity, 絶對濕度
절대광도,absolute luminosity,
절대 자기우물,absolute magnetic well,
절대등급,absolute magnitude, 絶對等級
절대측정,absolute measurement, 絶對測定
절대방법,absolute method, 絶對法
절대운동,absolute motion, 絶對運動
절대시차,absolute parallax,
절대압력,absolute pressure,
"절대굴절률, 절대 꺽임율",absolute refractive index, 絶對屈折率
절대정지,absolute rest,
절대정지틀,absolute rest frame, 絶對靜止座標系
절대회전,absolute rotation, 絶對回轉
절대공간,absolute space,
절대온도,absolute temperature, 絶對溫度
절대온도눈금,absolute temperature scale,
절대 단위,absolute unit, 絶對單位
절대진공재개,absolute vacuum gauge, 絶對壓力眞空計
절대값,absolute value,絶?値
절대영도,absolute zero, 絶對零度
절대영도점,absolute zero point,
절대영전위,absolute zero potential,
절대수렴급수,absolutely convergent series,
흡수 쬔양,absorbed dose, 吸收線量
흡수계기법,absorptiometry, 吸光光度法
"흡광, 흡수",absorption, 吸 收
흡수띠,absorption band, 吸收バンド(吸收帶)
흡수곁수,absorption coefficient, 吸收係數
흡수상수,absorption constant,
흡수자름넓이,absorption cross section, 吸收斷面積
흡수곡선,absorption curve,
흡수끝머리,absorption edge, 吸收端
흡수인자,absorption factor, 吸收因子
흡수습도계,absorption hygrometer, 吸收濕度計
흡수모형,absorption model, 吸收模型
흡수확률,absorption probability, (1)吸收確率 (2)吸着確率
흡수냉각순환,absorption refrigerating cycle, 吸收冷凍サイクル
흡수냉각계,absorption refrigeration system, 吸收冷凍システム
흡수분광광도법,absorption spectrophotometry,
흡수분광법,absorption spectroscopy,
흡수빛띠,absorption spectrum, 吸收スペクトル
흡수파길이재개,absorption wavemeter, 吸收型周波計
흡수퍼텐셜,absorptive potential, 吸收ポテンシャル
흡수능,absorptive power,
"존재비, 존재비율",abundance, 存在度
원소의 존재비,abundance of element,
동위원소의 (자연)존재비,abundance of isotope(s),
교류바이어스,AC bias, 交流バイアス
교류정류자 전동기,AC commutator motor,
교류코로나,AC corona, 交流コロナ
교류전위차재개,AC potentiometer, 交流電位差計
"교류전기샘, 교류전원",AC power source,交流電源
가속된 기준틀,accelerated frame of reference,
가속도운동,accelerated motion,
가속전극,accelerating electrode, 加速電極
가속관,accelerating tube, 加速管
가속도,acceleration, 加速度
"가속공동, 가속캐비티",acceleration cavity, 加速空洞
중력 가속도,acceleration of gravity, 重力加速度
가속도 퍼텐셜,acceleration potential, 加速度ポテンシャル
가속전압,acceleration voltage, 加速電壓
"가속기, 가속장치",accelerator, [粒子]加速器
가속기 이용 증식,accelerator breeding, 加速器增殖
가속기과학,accelerator science, 加速器科學
가속도계,accelerometer, 加速度計
억셉탄스,acceptance, アクセプタンス
받개,acceptor, アクセプタ?
받개준위,acceptor level, アクセブタ?準位
접근가능상태,accessible state,
우연(의) 일치,accidental coincidence,
우연적반사,accidental reflection, 偶然的同時反射
거리적응<<눈의>>,accommodation, 調 節
열적응곁수,accommodation coefficient, [熱的]適應係數
눈의 거리적응,accommodation of eye,
유입원반,accretion disk, アクリ?ションディスク (降着円盤)
쌓임층,accumulation layer, 蓄積層
누적점,accumulation point, 集積點
축적링,accumulation ring, 蓄積リング
축전기,accumulator, 蓄電池
"정확도, 정확성",accuracy, 確 度 / 正確さ
AC-DC교환기,AC-DC converter,
"색지움, 색지움렌즈",achromat, (1)アクロマ?ト (2)色消しレンズ
색지움(의),achromatic,アクロマティック
색지움 조건,achromatic condition,
색지움 보정,achromatic correction,
"색지움 눈쪽렌즈, 색지움 접안렌즈",achromatic eye-piece,
색지움 렌즈,achromatic lens, 色消しレンズ
색지움 프리즘,achromatic prism,
산,acid,
산 라디칼,acid radical, 酸 基
산성비,acid rain,酸性雨
산성반응,acid reaction,酸性反?
산성염,acid salt,
산성,acidic,
산도,acidity,
"소리의, 음향의",acoustic,
"소리 흡수율, 음향 흡수율",acoustic absorptivity,
"소리 배열판, 음향배열소자",acoustic array, 音響アレイ
"소리갈래, 음향갈래",acoustic branch,
소리상자,acoustic chamber, アコ?スティックチェンバ?
"음향 컴플라이언스, 소리 허용계수",acoustic compliance, 音響コンブライアンス
소리 결합기,acoustic coupler, 音響カプラ?
"소리의 에돌이, 음파 회절",acoustic diffraction, 音皮回折
"소리효과, 음향효과",acoustic effect, 音響 ?果
"소리 냄, 발성",acoustic emission, アコ?スティックエミッション
먼 소리 마당,acoustic far-field, 遠距離音場
"소리 거르개, 음향필터",acoustic filter, 音響フィルタ?
프라운호퍼 소리 마당,acoustic Fraunhofer field, フラウンホ?ファ?音場
프레넬 소리 마당,acoustic Fresnel field, フレネル音場
"소리 온저항, 음향 임피던스",acoustic impedance, 音響インピ?ダンス
음향관성,acoustic inertance, 音響イナ?タンス
소리의 간섭,acoustic interference, 音波干涉
소리 간섭계,acoustic interferometer, 音響干涉計
소리 재기,acoustic measurement, 音響測定
초음파현미경,acoustic microscope, 超音波顯微鏡
소리의 방식,acoustic mode, 音響モ?ド
가까운 소리 마당,acoustic near-field, 近距離音場
"소리 옴, 소리 저항",acoustic ohm, 音響オ?ム
소리 리액턴스,acoustic reactance, 音響リアクタンス
"소리 수신기, 수파기",acoustic receiver, 受波器
소리 저항,acoustic resistance, 音響抵抗
소리 변환기,acoustic transducer, 音響變換器
소리 변성기,acoustic transfomer, 音響變成器
"소리관, 음향관",acoustic tube, 音響管
소리 홀로그래피,acoustical holography, 音響ホログラフィ?
소리 물성,acoustical properties of materials, 音波物性
"소리떨기, 음향떨기",acoustical vibration,
"소리 겹꺾임성, 음향 복굴절",acoustically induced birefringence, 音響複屈折
